         73459485 function calls (73452122 primitive calls) in 27.958 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       73    0.000    0.000    0.000    0.000 rcsetup.py:88(<listcomp>)
      235    0.000    0.000    0.000    0.000 function_base.py:244(iterable)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f798908c670}
      299    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
      227    0.000    0.000    0.000    0.000 rcsetup.py:137(validate_bool)
       32    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.009    0.009 core.py:179(read_style_directory)
       82    0.000    0.000    0.000    0.000 __init__.py:1922(make_alias)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
      263    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
      104    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3968(copy)
      398    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      908    0.000    0.000    0.000    0.000 inspect.py:2845(parameters)
      195    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
     1807    0.000    0.000    0.000    0.000 __init__.py:707(<lambda>)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       40    0.000    0.000    0.000    0.000 colors.py:1028(__init__)
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
      105    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
       14    0.000    0.000    0.000    0.000 deprecation.py:37(_generate_deprecation_warning)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3897(leaveWhitespace)
       31    0.000    0.000    0.000    0.000 _base.py:51(__init__)
       32    0.000    0.000    0.000    0.000 colors.py:377(<setcomp>)
      166    0.000    0.000    0.000    0.000 colors.py:564(__init__)
      746    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 uuid.py:76(UUID)
      499    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       29    0.000    0.000    0.000    0.000 inspect.py:3045(__str__)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1628(preParse)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       60    0.000    0.000    0.000    0.000 deprecation.py:385(<genexpr>)
      117    0.000    0.000    0.001    0.000 inspect.py:2853(replace)
      316    0.000    0.000    0.000    0.000 overrides.py:124(array_function_dispatch)
        1    0.000    0.000    0.000    0.000 format.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
       13    0.000    0.000    0.000    0.000 enum.py:510(_find_new_)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:70(_wrapreduction)
       60    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
   114/56    0.000    0.000    0.001    0.000 pyparsing.py:3970(<listcomp>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1550(_execute_child)
      104    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      174    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      205    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      179    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      266    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      484    0.000    0.000    0.000    0.000 artist.py:1437(<genexpr>)
       23    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
      161    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 __init__.py:660(<dictcomp>)
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
       34    0.000    0.000    0.000    0.000 deprecation.py:392(<listcomp>)
      620    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       27    0.000    0.000    0.000    0.000 pathlib.py:528(_select_from)
       91    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       31    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
      306    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.005    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:185(Dvi)
       36    0.000    0.000    0.000    0.000 pyparsing.py:2870(__init__)
      226    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.005    0.005 Image.py:27(<module>)
       21    0.000    0.000    0.001    0.000 pyparsing.py:1518(setParseAction)
