         102885391 function calls (102878028 primitive calls) in 35.188 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      137    0.000    0.000    0.000    0.000 pyplot.py:2008(<genexpr>)
      227    0.000    0.000    0.000    0.000 rcsetup.py:137(validate_bool)
        1    0.000    0.000    0.000    0.000 dataclasses.py:947(<listcomp>)
      691    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      993    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      307    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       31    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
       27    0.000    0.000    0.005    0.000 pyparsing.py:3294(__init__)
      147    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     33/5    0.000    0.000    0.000    0.000 pyparsing.py:3928(streamline)
      338    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      746    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
       10    0.000    0.000    0.002    0.000 pyparsing.py:3140(__init__)
      274    0.000    0.000    0.000    0.000 function_base.py:437(_add_docstring)
        1    0.000    0.000    0.001    0.001 subprocess.py:1550(_execute_child)
      799    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
       85    0.000    0.000    0.000    0.000 sre_parse.py:861(_parse_flags)
        1    0.000    0.000    0.009    0.009 core.py:179(read_style_directory)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fb68afa0670}
       85    0.000    0.000    0.000    0.000 deprecation.py:241(finalize)
     1807    0.000    0.000    0.000    0.000 __init__.py:707(<lambda>)
      263    0.000    0.000    0.000    0.000 pyparsing.py:545(__new__)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
       28    0.000    0.000    0.000    0.000 __init__.py:1272(getLogger)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3897(leaveWhitespace)
      908    0.000    0.000    0.000    0.000 inspect.py:2845(parameters)
      195    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
      398    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
      432    0.000    0.000    0.000    0.000 colors.py:241(<genexpr>)
       60    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       32    0.000    0.000    0.000    0.000 colors.py:377(<setcomp>)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
       29    0.000    0.000    0.000    0.000 inspect.py:3045(__str__)
      560    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       60    0.000    0.000    0.000    0.000 deprecation.py:385(<genexpr>)
       32    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
      126    0.000    0.000    0.000    0.000 colors.py:846(__init__)
      499    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      205    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
